"","Ngày","Địa chỉ","Quận","Huyện","Loại hình nhà ở","Giấy tờ pháp lý","Số tầng","Số phòng ngủ","Diện tích","Dài","Rộng","Giá/m2"
"1",2021-06-05,"phố minh khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Minh Khai","Nhà ngõ, hẻm","Đã có sổ",4,"4 phòng","40 m²","10 m","4 m","65 triệu/m²"
"2",2021-06-05,"Đường Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội","Quận Long Biên","Phường Bồ Đề","Nhà ngõ, hẻm","Đã có sổ",5,"4 phòng","52 m²","12 m","4.2 m","93,27 triệu/m²"
"3",2021-06-05,"Đường Tố Hữu, Phường La Khê, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường La Khê","Nhà mặt phố, mặt tiền","Đã có sổ",5,"5 phòng","90 m²","18 m","5 m","108,89 triệu/m²"
"4",2021-06-05,"180/61/5, Đường Tây Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Tây Mỗ","Nhà ngõ, hẻm","Đã có sổ",4,"3 phòng","32 m²","6.6 m","4.5 m","60,94 triệu/m²"
"7",2021-06-05,"Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Khương Trung","Nhà ngõ, hẻm","Đã có sổ",4,"4 phòng","38 m²","10 m","3 m","68,42 triệu/m²"
"8",2021-06-05,"văn phu, Phường Kiến Hưng, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Kiến Hưng","Nhà biệt thự","Đang chờ sổ",3,"5 phòng","200 m²","22 m","9 m","47,25 triệu/m²"
"9",2021-06-05,"Đường Chùa Láng, Phường Láng Hạ, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Láng Hạ","Nhà mặt phố, mặt tiền","Đã có sổ",6,"nhiều hơn 10 phòng","70 m²","17 m","4 m","114,29 triệu/m²"
"10",2021-06-05,"Đường Đền Lừ, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Hoàng Văn Thụ","Nhà mặt phố, mặt tiền","Đã có sổ",5,"9 phòng","77 m²","17 m","4 m","2,08 triệu/m²"
"11",2021-06-05,"Đường Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Vạn Phúc","Nhà ngõ, hẻm","Đã có sổ",5,"4 phòng","30 m²","9 m","3.4 m","82,67 triệu/m²"
"12",2021-06-05,"Đường Đê Trần Khát Chân, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Thanh Lương","Nhà ngõ, hẻm","Đã có sổ",4,"2 phòng","18 m²","6 m","3.2 m","105,56 triệu/m²"
"13",2021-06-05,"Đường Ngọc Hà, Phường Ngọc Hà, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Ngọc Hà","Nhà ngõ, hẻm","Đã có sổ",5,"5 phòng","33 m²","11 m","3 m","136,36 triệu/m²"
"14",2021-06-05,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Hoàng Văn Thụ","Nhà ngõ, hẻm","Đã có sổ",5,"3 phòng","32 m²","11 m","3.2 m","89,06 triệu/m²"
"15",2021-06-05,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Hoàng Văn Thụ","Nhà ngõ, hẻm","Đã có sổ",4,"3 phòng","20 m²","6.5 m","3 m","97,5 triệu/m²"
"16",2021-06-05,"Đường Đê La Thành, Phường Kim Liên, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Kim Liên","Nhà ngõ, hẻm","Đã có sổ",3,"3 phòng","28 m²","7 m","3.9 m","100 triệu/m²"
"17",2021-06-05,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Hoàng Văn Thụ","Nhà mặt phố, mặt tiền","Đã có sổ",5,"3 phòng","30 m²","4 m","7.55 m","118,33 triệu/m²"
"18",2021-06-05,"Văn Phú, Phường La Khê, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường La Khê","Nhà ngõ, hẻm","Đã có sổ",3,"2 phòng","37 m²","10 m","3.7 m","53,51 triệu/m²"
"19",2021-06-05,"Đường Phùng Khoang, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội","Quận Nam Từ Liêm","Phường Trung Văn","Nhà ngõ, hẻm","Đã có sổ",1,"1 phòng","45 m²","10 m","4.5 m","71,11 triệu/m²"
"20",2021-06-05,"Đường Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Trung Liệt","Nhà ngõ, hẻm","Đã có sổ",5,"3 phòng","11 m²","3 m","4 m","131,82 triệu/m²"
"21",2021-06-05,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Hoàng Văn Thụ","Nhà mặt phố, mặt tiền","Đã có sổ",3,"3 phòng","21 m²","7 m","3 m","100 triệu/m²"
"22",2021-06-05,"tôn đức thắng, Phường Quốc Tử Giám, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Quốc Tử Giám","Nhà mặt phố, mặt tiền","Đã có sổ",5,"8 phòng","75 m²","20 m","6 m","393,33 triệu/m²"
"23",2021-06-05,"Đường Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Vạn Phúc","Nhà ngõ, hẻm","Đã có sổ",5,"3 phòng","35 m²","9 m","4 m","71,43 triệu/m²"
"24",2021-06-05,"Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội","Quận Ba Đình","Phường Kim Mã","Nhà ngõ, hẻm","Đã có sổ",3,"2 phòng","30 m²","9 m","3.2 m","60 triệu/m²"
"25",2021-06-05,"Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Hoàng Văn Thụ","Nhà ngõ, hẻm","Đã có sổ",5,"3 phòng","25 m²","7 m","3.6 m","96 triệu/m²"
"26",2021-06-05,"Đường Ba La, Phường Phú La, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Phú La","Nhà mặt phố, mặt tiền","Đã có sổ",5,"4 phòng","40 m²","10 m","4 m","50 triệu/m²"
"27",2021-06-05,"Đường Hà Trì||1775, Phường Hà Cầu, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Hà Cầu","Nhà ngõ, hẻm","Đã có sổ",4,"3 phòng","33 m²","9.5 m","3.5 m","65,15 triệu/m²"
"28",2021-06-05,"200, Đường Vĩnh Hưng, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Vĩnh Hưng","Nhà ngõ, hẻm","Đang chờ sổ",2,"2 phòng","30 m²","7 m","4 m","28,33 triệu/m²"
"29",2021-06-05,"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội","Quận Bắc Từ Liêm","Phường Xuân Đỉnh","Nhà ngõ, hẻm","Đã có sổ",2,"3 phòng","81 m²","22.5 m","3.6 m","39,51 triệu/m²"
"30",2021-06-05,"Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội","Quận Bắc Từ Liêm","Phường Cổ Nhuế 1","Nhà mặt phố, mặt tiền","Đã có sổ",5,"3 phòng","45 m²","9 m","4 m","64,44 triệu/m²"
"32",2021-06-05,"Trần Khát Chân, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Thanh Lương","Nhà ngõ, hẻm","Đã có sổ",4,"3 phòng","35 m²","8.75 m","4 m","68,57 triệu/m²"
"33",2021-06-05,"Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Văn Quán","Nhà ngõ, hẻm","Đã có sổ",4,"4 phòng","60 m²","15 m","4 m","83,33 triệu/m²"
"34",2021-06-05,"101/19 Gốc Đề, Đường Ngõ Gốc Đề, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội","Quận Hoàng Mai","Phường Hoàng Văn Thụ","Nhà ngõ, hẻm","Đã có sổ",5,"3 phòng","36 m²","9 m","4 m","76,39 triệu/m²"
"35",2021-06-05,"Đường Chiến Thắng, Phường Văn Quán, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Văn Quán","Nhà mặt phố, mặt tiền","Đã có sổ",2,"2 phòng","45 m²","13 m","3.4 m","122,22 triệu/m²"
"36",2021-06-05,"Đường Xã Đàn, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội","Quận Đống Đa","Phường Ô Chợ Dừa","Nhà mặt phố, mặt tiền","Đã có sổ",6,"6 phòng","60 m²","8 m","8 m","483,33 triệu/m²"
"37",2021-06-05,"Phố Văn Quán, Phường Văn Quán, Quận Hà Đông, Hà Nội","Quận Hà Đông","Phường Văn Quán","Nhà mặt phố, mặt tiền","Đã có sổ",5,"4 phòng","37 m²","11 m","3.7 m","116,22 triệu/m²"
"38",2021-06-05,"Đường Trần Khát Chân, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội","Quận Hai Bà Trưng","Phường Bạch Đằng","Nhà ngõ, hẻm","Đã có sổ",3,"2 phòng","23 m²","8 m","3 m","82,61 triệu/m²"
"39",2021-06-05,"Đường Quan Nhân, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội","Quận Thanh Xuân","Phường Nhân Chính","Nhà mặt phố, mặt tiền","Đã có sổ",4,"4 phòng","40 m²","4 m","4 m","140 triệu/m²"
"40",2021-06-05,"Võng Thị, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội","Quận Tây Hồ","Phường Thụy Khuê","Nhà biệt thự","Đã có sổ",5,"6 phòng","92 m²","18 m","5.6 m","146,74 triệu/m²"
"41",2021-06-05,"Đường Doãn Kế Thiện, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội","Quận Cầu Giấy","Phường Dịch Vọng","Nhà mặt phố, mặt tiền","Đã có sổ",4,"3 phòng","47 m²","11.7 m","4 m","102,13 triệu/m²"
