total_bill,tip,smoker,day,time,size
16.99,1.01,No,Sun,Dinner,2
10.34,1.66,No,Sun,Dinner,3
21.01,3.5,No,Sun,Dinner,3
23.68,3.31,No,Sun,Dinner,2
24.59,3.61,No,Sun,Dinner,4
25.29,4.71,No,Sun,Dinner,4
8.77,2.0,No,Sun,Dinner,2
26.88,3.12,No,Sun,Dinner,4
15.04,1.96,No,Sun,Dinner,2
14.78,3.22,No,Sun,Dinner,2
10.27,1.73,No,Sun,Dinner,2
35.26,5.0,No,Sun,Dinner,4
15.42,1.58,No,Sun,Dinner,2
18.43,3.0,No,Sun,Dinner,4
14.83,3.02,No,Sun,Dinner,2
21.58,3.92,No,Sun,Dinner,2
10.33,1.67,No,Sun,Dinner,3
16.29,3.71,No,Sun,Dinner,3
16.97,3.5,No,Sun,Dinner,3
20.65,3.35,No,Sat,Dinner,3
17.92,4.08,No,Sat,Dinner,2
20.29,2.75,No,Sat,Dinner,2
15.77,2.23,No,Sat,Dinner,2
39.42,7.58,No,Sat,Dinner,4
19.82,3.18,No,Sat,Dinner,2
17.81,2.34,No,Sat,Dinner,4
13.37,2.0,No,Sat,Dinner,2
12.69,2.0,No,Sat,Dinner,2
21.7,4.3,No,Sat,Dinner,4
19.65,3.0,No,Sat,Dinner,2
9.55,1.45,No,Sat,Dinner,2
18.35,2.5,No,Sat,Dinner,4
15.06,3.0,No,Sat,Dinner,2
20.69,2.45,No,Sat,Dinner,4
17.78,3.27,No,Sat,Dinner,2
24.06,2.94,No,Sat,Dinner,3
16.31,2.0,No,Sat,Dinner,3
16.93,3.07,No,Sat,Dinner,3
18.69,2.31,No,Sat,Dinner,3
31.27,5.0,No,Sat,Dinner,3
16.04,2.24,No,Sat,Dinner,3
17.46,2.54,No,Sat,Dinner,2
13.94,3.06,No,Sat,Dinner,2
9.68,1.32,No,Sat,Dinner,2
30.4,5.6,No,Sat,Dinner,4
18.29,3.0,No,Sat,Dinner,2
22.23,5.0,No,Sat,Dinner,2
32.4,6.0,No,Sat,Dinner,4
28.55,2.05,No,Sat,Dinner,3
18.04,3.0,No,Sat,Dinner,2
12.54,2.5,No,Sat,Dinner,2
10.29,2.6,No,Sat,Dinner,2
34.83,5.17,No,Sat,Dinner,4
11.59,1.5,No,Sat,Dinner,2
7.74,1.44,No,Sat,Dinner,2
30.07,4.3,No,Sat,Dinner,3
12.02,1.97,No,Sat,Dinner,2
20.0,2.08,No,Sat,Dinner,2
17.07,3.0,No,Sat,Dinner,3
10.51,1.25,No,Sat,Dinner,2
17.51,3.0,Yes,Sun,Dinner,2
24.55,2.0,No,Sun,Dinner,4
19.77,2.0,No,Sun,Dinner,4
29.85,5.14,No,Sun,Dinner,5
48.17,5.0,No,Sun,Dinner,6
25.0,3.75,No,Sun,Dinner,4
13.81,2.0,No,Sun,Dinner,2
11.02,1.98,No,Sun,Dinner,2
18.29,3.76,Yes,Sat,Dinner,4
16.47,2.0,No,Sat,Dinner,2
26.59,3.41,No,Sat,Dinner,3
38.73,3.0,Yes,Sat,Dinner,4
24.27,2.03,No,Sat,Dinner,2
12.76,2.23,No,Sat,Dinner,2
30.06,2.0,No,Sat,Dinner,3
25.89,5.16,No,Sat,Dinner,4
48.33,9.0,No,Sat,Dinner,4
13.03,2.0,No,Sat,Dinner,2
18.29,3.0,No,Sat,Dinner,2
22.12,2.88,Yes,Sat,Dinner,2
24.01,2.0,Yes,Sat,Dinner,4
15.69,1.5,No,Sat,Dinner,2
11.61,3.39,No,Sat,Dinner,2
10.77,1.47,No,Sat,Dinner,2
15.53,3.0,Yes,Sat,Dinner,2
10.07,1.83,No,Sat,Dinner,1
12.6,1.0,No,Sat,Dinner,2
32.83,1.17,Yes,Sat,Dinner,2
35.83,4.67,No,Sat,Dinner,3
29.03,5.92,No,Sat,Dinner,3
27.18,2.0,Yes,Sat,Dinner,2
22.67,2.0,Yes,Sat,Dinner,2
17.82,1.75,No,Sat,Dinner,2
18.78,3.0,No,Thur,Dinner,2
14.26,2.5,No,Thur,Lunch,2
15.95,2.0,No,Thur,Lunch,2
12.48,2.52,No,Thur,Lunch,2
29.8,4.2,No,Thur,Lunch,6
8.51,1.25,No,Thur,Lunch,2
10.33,2.0,No,Thur,Lunch,2
14.15,2.0,No,Thur,Lunch,2
16.27,2.5,No,Thur,Lunch,2
10.09,2.0,No,Thur,Lunch,2
20.45,3.0,No,Thur,Lunch,4
13.28,2.72,No,Thur,Lunch,2
22.76,3.0,No,Thur,Lunch,2
17.29,2.71,No,Thur,Lunch,3
13.0,2.0,No,Thur,Lunch,2
13.51,2.0,No,Thur,Lunch,2
18.71,4.0,No,Thur,Lunch,3
12.74,2.01,No,Thur,Lunch,2
13.0,2.0,No,Thur,Lunch,2
16.4,2.5,No,Thur,Lunch,2
20.53,4.0,No,Thur,Lunch,4
16.47,3.23,No,Thur,Lunch,3
26.34,3.0,No,Thur,Lunch,4
23.33,5.65,No,Thur,Lunch,2
11.02,1.5,No,Thur,Lunch,2
14.48,2.0,Yes,Thur,Lunch,2
9.78,1.73,No,Thur,Lunch,2
7.51,2.0,No,Thur,Lunch,2
10.65,1.5,No,Thur,Lunch,2
12.43,1.8,No,Thur,Lunch,2
24.08,2.92,No,Thur,Lunch,4
11.69,2.31,No,Thur,Lunch,2
13.42,1.58,No,Thur,Lunch,2
14.26,2.74,No,Thur,Lunch,2
15.79,3.21,No,Thur,Lunch,2
8.58,1.92,Yes,Thur,Lunch,1
13.42,3.08,No,Thur,Lunch,2
16.21,2.0,No,Thur,Lunch,2
13.94,2.56,No,Thur,Lunch,2
9.68,1.32,No,Thur,Lunch,2
10.58,1.42,No,Thur,Lunch,2
10.63,2.0,Yes,Sat,Dinner,2
50.81,10.0,Yes,Sat,Dinner,3
15.81,3.16,Yes,Sat,Dinner,2
7.25,1.0,No,Sat,Dinner,1
12.6,1.5,No,Sat,Dinner,2
11.35,2.5,No,Sat,Dinner,2
15.38,3.0,Yes,Sat,Dinner,2
44.3,2.5,Yes,Sat,Dinner,3
22.42,3.48,Yes,Sat,Dinner,2
20.92,4.08,No,Sat,Dinner,2
15.77,2.23,No,Sat,Dinner,2
10.27,2.0,No,Sat,Dinner,2
12.03,1.5,No,Sat,Dinner,2
21.01,3.0,Yes,Sat,Dinner,2
12.46,1.5,No,Sat,Dinner,2
34.3,3.5,No,Sat,Dinner,3
22.82,2.18,No,Sat,Dinner,3
28.97,3.0,Yes,Fri,Dinner,2
22.49,3.5,No,Fri,Dinner,2
5.75,1.0,Yes,Fri,Dinner,2
16.32,4.3,No,Fri,Dinner,2
22.75,3.25,No,Fri,Dinner,2
40.17,4.73,Yes,Fri,Dinner,4
27.28,4.0,Yes,Fri,Dinner,2
12.03,2.97,No,Fri,Dinner,2
21.01,3.0,Yes,Fri,Dinner,2
12.43,1.8,No,Fri,Dinner,2
11.35,2.5,No,Fri,Dinner,2
13.27,2.5,No,Fri,Dinner,2
12.16,2.2,Yes,Fri,Lunch,2
28.17,6.5,No,Sat,Dinner,3
12.9,1.1,No,Sat,Dinner,2
7.25,5.15,Yes,Sun,Dinner,2
31.85,3.18,No,Sun,Dinner,2
16.82,4.0,No,Sun,Dinner,3
32.9,3.11,Yes,Sun,Dinner,2
17.89,2.0,Yes,Sun,Dinner,2
14.48,2.0,No,Sun,Dinner,2
9.6,4.0,No,Sun,Dinner,2
34.63,3.55,No,Sun,Dinner,2
34.65,3.68,No,Sun,Dinner,4
23.33,2.67,No,Sun,Dinner,2
25.28,5.0,No,Sun,Dinner,2
10.51,1.25,No,Sun,Dinner,2
14.07,2.5,No,Sun,Dinner,2
13.13,2.0,No,Sun,Dinner,2
17.26,2.74,No,Sun,Dinner,3
25.56,4.34,No,Sun,Dinner,4
19.49,3.51,No,Sun,Dinner,2
38.01,3.0,Yes,Sun,Dinner,4
23.95,2.55,No,Sun,Dinner,2
25.71,4.0,No,Sun,Dinner,3
17.31,3.5,No,Sun,Dinner,3
29.93,5.07,No,Sun,Dinner,4
10.65,2.0,No,Sun,Dinner,2
20.9,3.5,No,Sun,Dinner,3
30.46,2.0,No,Sun,Dinner,5
18.15,3.5,No,Sun,Dinner,3
23.1,4.0,No,Sun,Dinner,3
15.69,3.0,No,Sun,Dinner,3
19.81,4.19,No,Thur,Lunch,2
28.44,2.56,Yes,Thur,Lunch,2
15.48,2.02,Yes,Thur,Lunch,2
16.58,4.0,Yes,Thur,Lunch,2
7.56,1.44,No,Thur,Lunch,2
10.34,2.0,Yes,Thur,Lunch,2
43.11,5.0,Yes,Thur,Lunch,4
19.0,3.0,Yes,Thur,Lunch,2
13.0,2.0,Yes,Thur,Lunch,2
14.52,2.0,No,Thur,Lunch,2
11.38,2.0,No,Thur,Lunch,2
22.82,2.18,No,Thur,Lunch,3
19.08,1.5,No,Thur,Lunch,2
20.27,2.83,No,Thur,Lunch,2
11.17,1.5,No,Thur,Lunch,2
12.26,2.0,No,Thur,Lunch,2
18.26,3.25,No,Thur,Lunch,2
8.52,1.48,No,Thur,Lunch,2
24.01,2.0,No,Thur,Lunch,4
15.43,2.0,No,Thur,Lunch,2
14.73,2.2,No,Thur,Lunch,2
10.51,1.49,No,Thur,Lunch,2
12.02,2.0,No,Thur,Lunch,2
17.07,2.0,No,Thur,Lunch,2
16.43,2.3,No,Thur,Lunch,2
20.23,2.01,No,Thur,Lunch,2
11.25,2.0,No,Thur,Lunch,2
21.16,3.0,No,Thur,Lunch,2
13.16,2.0,No,Thur,Lunch,2
27.05,5.0,No,Thur,Lunch,6
16.45,2.47,No,Thur,Lunch,2
20.59,3.41,No,Thur,Lunch,4
16.66,3.4,No,Thur,Lunch,2
12.86,2.12,No,Thur,Lunch,2
17.47,3.5,No,Thur,Lunch,2
30.08,4.0,No,Thur,Lunch,3
8.35,1.5,No,Fri,Lunch,2
18.64,1.36,No,Fri,Lunch,3
11.87,1.63,No,Fri,Lunch,2
9.78,2.23,No,Fri,Lunch,2
12.13,1.87,No,Fri,Lunch,2
10.09,2.41,No,Fri,Lunch,2
13.42,1.58,Yes,Fri,Lunch,2
16.27,2.5,Yes,Fri,Lunch,2
27.2,4.0,No,Thur,Lunch,5
12.76,2.23,No,Thur,Lunch,2
10.07,1.83,No,Thur,Lunch,1
3.07,1.0,Yes,Sat,Dinner,1
20.29,3.21,Yes,Sat,Dinner,2
13.81,2.0,Yes,Sat,Dinner,2
11.24,1.76,No,Sat,Dinner,2
45.35,3.5,No,Sun,Dinner,3
23.17,6.5,No,Sun,Dinner,4
31.71,4.5,No,Sun,Dinner,4
28.15,3.0,No,Sun,Dinner,5
11.59,2.41,No,Sun,Dinner,2
7.25,1.0,No,Sun,Dinner,1
38.07,4.0,No,Sun,Dinner,3
26.41,1.5,No,Sat,Dinner,2
20.76,2.24,No,Sun,Dinner,2
31.21,4.0,No,Sun,Dinner,3
16.31,2.0,No,Sun,Dinner,2
22.12,3.13,No,Sun,Dinner,2
24.06,3.19,No,Sun,Dinner,3
48.27,6.73,No,Sat,Dinner,4
25.0,3.0,No,Sat,Dinner,3
13.39,2.61,No,Sat,Dinner,2
16.49,2.0,No,Sat,Dinner,2
21.5,3.5,No,Sun,Dinner,2
12.66,2.5,No,Sun,Dinner,2
16.0,3.0,No,Sun,Dinner,2
29.8,4.29,No,Sun,Dinner,2
9.94,1.56,No,Sun,Dinner,2
19.44,3.0,Yes,Thur,Lunch,2
32.68,5.0,Yes,Thur,Lunch,2
15.98,2.03,No,Thur,Lunch,2
34.81,5.2,No,Thur,Lunch,4
13.03,2.0,No,Thur,Lunch,2
18.28,4.0,No,Thur,Lunch,2
24.71,5.85,No,Thur,Lunch,2
21.16,3.09,No,Thur,Lunch,2
28.97,3.0,Yes,Fri,Dinner,2
17.29,3.21,No,Thur,Lunch,2
19.49,3.01,No,Thur,Lunch,2
