,ID,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,term_deposit
1,1,58,management,2,tertiary,0,2143,1,0,5,may,261,1,-1,0,0
2,2,44,technician,1,secondary,0,29,1,0,5,may,151,1,-1,0,0
3,3,33,entrepreneur,2,secondary,0,2,1,1,5,may,76,1,-1,0,0
4,4,47,blue-collar,2,unknown,0,1506,1,0,5,may,92,1,-1,0,0
5,5,33,unknown,1,unknown,0,1,0,0,5,may,198,1,-1,0,0
6,6,35,management,2,tertiary,0,231,1,0,5,may,139,1,-1,0,0
7,7,28,management,1,tertiary,0,447,1,1,5,may,217,1,-1,0,0
8,8,42,entrepreneur,0,tertiary,1,2,1,0,5,may,380,1,-1,0,0
9,9,58,retired,2,primary,0,121,1,0,5,may,50,1,-1,0,0
10,10,43,technician,1,secondary,0,593,1,0,5,may,55,1,-1,0,0
11,11,41,admin.,0,secondary,0,270,1,0,5,may,222,1,-1,0,0
12,12,29,admin.,1,secondary,0,390,1,0,5,may,137,1,-1,0,0
13,13,53,technician,2,secondary,0,6,1,0,5,may,517,1,-1,0,0
14,14,58,technician,2,unknown,0,71,1,0,5,may,71,1,-1,0,0
15,15,57,services,2,secondary,0,162,1,0,5,may,174,1,-1,0,0
16,16,51,retired,2,primary,0,229,1,0,5,may,353,1,-1,0,0
17,17,45,admin.,1,unknown,0,13,1,0,5,may,98,1,-1,0,0
18,18,57,blue-collar,2,primary,0,52,1,0,5,may,38,1,-1,0,0
19,19,60,retired,2,primary,0,60,1,0,5,may,219,1,-1,0,0
20,20,33,services,2,secondary,0,0,1,0,5,may,54,1,-1,0,0
21,21,28,blue-collar,2,secondary,0,723,1,1,5,may,262,1,-1,0,0
22,22,56,management,2,tertiary,0,779,1,0,5,may,164,1,-1,0,0
23,23,32,blue-collar,1,primary,0,23,1,1,5,may,160,1,-1,0,0
24,24,25,services,2,secondary,0,50,1,0,5,may,342,1,-1,0,0
25,25,40,retired,2,primary,0,0,1,1,5,may,181,1,-1,0,0
26,26,44,admin.,2,secondary,0,-372,1,0,5,may,172,1,-1,0,0
27,27,39,management,1,tertiary,0,255,1,0,5,may,296,1,-1,0,0
28,28,52,entrepreneur,2,secondary,0,113,1,1,5,may,127,1,-1,0,0
29,29,46,management,1,secondary,0,-246,1,0,5,may,255,2,-1,0,0
30,30,36,technician,1,secondary,0,265,1,1,5,may,348,1,-1,0,0
31,31,57,technician,2,secondary,0,839,0,1,5,may,225,1,-1,0,0
32,32,49,management,2,tertiary,0,378,1,0,5,may,230,1,-1,0,0
33,33,60,admin.,2,secondary,0,39,1,1,5,may,208,1,-1,0,0
34,34,59,blue-collar,2,secondary,0,0,1,0,5,may,226,1,-1,0,0
35,35,51,management,2,tertiary,0,10635,1,0,5,may,336,1,-1,0,0
36,36,57,technician,0,secondary,0,63,1,0,5,may,242,1,-1,0,0
37,37,25,blue-collar,2,secondary,0,-7,1,0,5,may,365,1,-1,0,0
38,38,53,technician,2,secondary,0,-3,0,0,5,may,1666,1,-1,0,0
39,39,36,admin.,0,secondary,0,506,1,0,5,may,577,1,-1,0,0
40,40,37,admin.,1,secondary,0,0,1,0,5,may,137,1,-1,0,0
41,41,44,services,0,secondary,0,2586,1,0,5,may,160,1,-1,0,0
42,42,50,management,2,secondary,0,49,1,0,5,may,180,2,-1,0,0
43,43,60,blue-collar,2,unknown,0,104,1,0,5,may,22,1,-1,0,0
44,44,54,retired,2,secondary,0,529,1,0,5,may,1492,1,-1,0,0
45,45,58,retired,2,unknown,0,96,1,0,5,may,616,1,-1,0,0
46,46,36,admin.,1,primary,0,-171,1,0,5,may,242,1,-1,0,0
47,47,58,self-employed,2,tertiary,0,-364,1,0,5,may,355,1,-1,0,0
48,48,44,technician,2,secondary,0,0,1,0,5,may,225,2,-1,0,0
49,49,55,technician,0,secondary,0,0,0,0,5,may,160,1,-1,0,0
50,50,29,management,1,tertiary,0,0,1,0,5,may,363,1,-1,0,0
51,51,54,blue-collar,2,secondary,0,1291,1,0,5,may,266,1,-1,0,0
52,52,48,management,0,tertiary,0,-244,1,0,5,may,253,1,-1,0,0
53,53,32,management,2,tertiary,0,0,1,0,5,may,179,1,-1,0,0
54,54,42,admin.,1,secondary,0,-76,1,0,5,may,787,1,-1,0,0
55,55,24,technician,1,secondary,0,-103,1,1,5,may,145,1,-1,0,0
56,56,38,entrepreneur,1,tertiary,0,243,0,1,5,may,174,1,-1,0,0
57,57,38,management,1,tertiary,0,424,1,0,5,may,104,1,-1,0,0
58,58,47,blue-collar,2,unknown,0,306,1,0,5,may,13,1,-1,0,0
59,59,40,blue-collar,1,unknown,0,24,1,0,5,may,185,1,-1,0,0
60,60,46,services,2,primary,0,179,1,0,5,may,1778,1,-1,0,0
61,61,32,admin.,2,tertiary,0,0,1,0,5,may,138,1,-1,0,0
62,62,53,technician,0,secondary,0,989,1,0,5,may,812,1,-1,0,0
63,63,57,blue-collar,2,primary,0,249,1,0,5,may,164,1,-1,0,0
64,64,33,services,2,secondary,0,790,1,0,5,may,391,1,-1,0,0
65,65,49,blue-collar,2,unknown,0,154,1,0,5,may,357,1,-1,0,0
66,66,51,management,2,tertiary,0,6530,1,0,5,may,91,1,-1,0,0
67,67,60,retired,2,tertiary,0,100,0,0,5,may,528,1,-1,0,0
68,68,59,management,0,tertiary,0,59,1,0,5,may,273,1,-1,0,0
69,69,55,technician,2,secondary,0,1205,1,0,5,may,158,2,-1,0,0
70,70,35,blue-collar,1,secondary,0,12223,1,1,5,may,177,1,-1,0,0
71,71,57,blue-collar,2,secondary,0,5935,1,1,5,may,258,1,-1,0,0
72,72,31,services,2,secondary,0,25,1,1,5,may,172,1,-1,0,0
73,73,54,management,2,secondary,0,282,1,1,5,may,154,1,-1,0,0
74,74,55,blue-collar,2,primary,0,23,1,0,5,may,291,1,-1,0,0
75,75,43,technician,2,secondary,0,1937,1,0,5,may,181,1,-1,0,0
76,76,53,technician,2,secondary,0,384,1,0,5,may,176,1,-1,0,0
77,77,44,blue-collar,2,secondary,0,582,0,1,5,may,211,1,-1,0,0
78,78,55,services,0,secondary,0,91,0,0,5,may,349,1,-1,0,0
79,79,49,services,0,secondary,0,0,1,1,5,may,272,1,-1,0,0
80,80,55,services,0,secondary,1,1,1,0,5,may,208,1,-1,0,0
81,81,45,admin.,1,secondary,0,206,1,0,5,may,193,1,-1,0,0
82,82,47,services,0,secondary,0,164,0,0,5,may,212,1,-1,0,0
83,83,42,technician,1,secondary,0,690,1,0,5,may,20,1,-1,0,0
84,84,59,admin.,2,secondary,0,2343,1,0,5,may,1042,1,-1,0,1
85,85,46,self-employed,2,tertiary,0,137,1,1,5,may,246,1,-1,0,0
86,86,51,blue-collar,2,primary,0,173,1,0,5,may,529,2,-1,0,0
87,87,56,admin.,2,secondary,0,45,0,0,5,may,1467,1,-1,0,1
88,88,41,technician,2,secondary,0,1270,1,0,5,may,1389,1,-1,0,1
89,89,46,management,0,secondary,0,16,1,1,5,may,188,2,-1,0,0
90,90,57,retired,2,secondary,0,486,1,0,5,may,180,2,-1,0,0
91,91,42,management,1,secondary,0,50,0,0,5,may,48,1,-1,0,0
92,92,30,technician,2,secondary,0,152,1,1,5,may,213,2,-1,0,0
93,93,60,admin.,2,secondary,0,290,1,0,5,may,583,1,-1,0,0
94,94,60,blue-collar,2,unknown,0,54,1,0,5,may,221,1,-1,0,0
95,95,57,entrepreneur,0,secondary,0,-37,0,0,5,may,173,1,-1,0,0
96,96,36,management,2,tertiary,0,101,1,1,5,may,426,1,-1,0,0
97,97,55,blue-collar,2,secondary,0,383,0,0,5,may,287,1,-1,0,0
98,98,60,retired,2,tertiary,0,81,1,0,5,may,101,1,-1,0,0
99,99,39,technician,2,secondary,0,0,1,0,5,may,203,1,-1,0,0
100,100,46,management,2,tertiary,0,229,1,0,5,may,197,1,-1,0,0
101,101,44,blue-collar,2,secondary,0,-674,1,0,5,may,257,1,-1,0,0
102,102,53,blue-collar,2,primary,0,90,0,0,5,may,124,1,-1,0,0
103,103,52,blue-collar,2,primary,0,128,1,0,5,may,229,1,-1,0,0
104,104,59,blue-collar,2,primary,0,179,1,0,5,may,55,3,-1,0,0
105,105,27,technician,1,tertiary,0,0,1,0,5,may,400,1,-1,0,0
106,106,44,blue-collar,2,secondary,0,54,1,0,5,may,197,1,-1,0,0
107,107,47,technician,2,tertiary,0,151,1,0,5,may,190,1,-1,0,0
108,108,34,admin.,2,secondary,0,61,0,1,5,may,21,1,-1,0,0
109,109,59,retired,1,secondary,0,30,1,0,5,may,514,1,-1,0,0
110,110,45,management,2,tertiary,0,523,1,0,5,may,849,2,-1,0,0
111,111,29,services,0,secondary,0,31,1,0,5,may,194,1,-1,0,0
112,112,46,technician,0,secondary,0,79,0,0,5,may,144,1,-1,0,0
113,113,56,self-employed,2,primary,0,-34,1,1,5,may,212,2,-1,0,0
114,114,36,blue-collar,2,primary,0,448,1,0,5,may,286,1,-1,0,0
115,115,59,retired,0,primary,0,81,1,0,5,may,107,1,-1,0,0
116,116,44,blue-collar,2,secondary,0,144,1,0,5,may,247,2,-1,0,0
